time,company_name,news_title,news_link
2026-03-31 18:50:43,OpenAI,Oracle reportedly undergoing round of layoffs amid push toward AI,https://www.usatoday.com/story/money/2026/03/31/oracle-layoffs-job-cuts/89402142007/
2026-03-31 18:46:52,OpenAI,ChatGPT app launches for CarPlay on iOS 26.4,https://9to5mac.com/2026/03/31/chatgpt-app-launches-for-carplay-on-ios-26-4/
2026-03-31 18:46:19,OpenAI,AI funding uncertainties are shaking up memory producers. Will we finally be able to afford RAM again?,https://www.destructoid.com/ai-funding-uncertainties-are-shaking-up-memory-producers-will-we-finally-be-able-to-afford-ram-again/
2026-03-31 18:45:54,OpenAI,"「巴菲特模式」失靈了?追隨者關停基金掀熱議,華爾街老將卻逆勢高呼:多年最利好信號來了",https://hk.investing.com/news/stock-market-news/article-1389420
2026-03-31 18:45:33,OpenAI,Empresa dueña de ChatGPT recauda $122.000 millones en ronda de financiación ampliada,https://crhoy.com/empresa-duena-de-chatgpt-recauda-122-000-millones-en-ronda-de-financiacion-ampliada
2026-03-31 18:45:21,OpenAI,5 Most Profitable Large Cap Stocks to Invest in Now,https://www.insidermonkey.com/blog/5-most-profitable-large-cap-stocks-to-invest-in-now-1729127/
2026-03-31 18:45:04,OpenAI,Lilly and Novo Show How AI Is Rewiring Big Pharma,https://www.pymnts.com/artificial-intelligence-2/2026/lilly-and-novo-show-how-ai-is-rewiring-big-pharma/
2026-03-31 18:42:59,OpenAI,Urheberrecht verletzt?: Deutscher Kinderbuchverlag verklagt KI-Riesen,https://www.n-tv.de/leute/Deutscher-Kinderbuchverlag-verklagt-KI-Riesen-id30590101.html
2026-03-31 18:34:15,OpenAI,Google amplia la famiglia di modelli per la generazione dei video: arriva Veo 3.1 Lite,https://www.tuttoandroid.net/news/2026/03/31/google-veo-3-1-lite-ufficiale-1146898/
2026-03-31 18:32:42,OpenAI,"“巴菲特模式”失灵了?追随者关停基金掀热议,华尔街老将却逆势高呼:多年最利好信号来了-FX168",https://www.fx168news.com/article/%E5%B7%B4%E8%8F%B2%E7%89%B9-1010302
